Facility Name,City,County,State,Major/Non-Major Status,Facility Latitude,Facility Longitude,SIC Description,Watershed Name,Total Pounds (lb/yr),Load Over Limit,Total TWPE (lb-eq/yr),TWPE Over Limit,Avg Concentration (mg/L),Max Concentration (mg/L),Average Flow (MGD),Percent People of Color (3 mi),Percent Low Income (3 mi),FRS Spatially Derived Tribe,Population Density
"MILLERCOORS, LLC - GOLDEN BREWERY",GOLDEN,JEFFERSON,CO,Major,39.756667,-105.219167,MALT BEVERAGES,Clear Creek Canyon,0,0,0,0,0,0,3.807,16.74,23.69,,901.54
PURE GREENS WWTF,SALIDA,CHAFFEE,CO,Non-Major,38.53407,-106.02109,ORNAMENTAL NURSERY PRODUCTS,Ute Creek-Arkansas River,0,0,0,0,0,0,0,21.22,34.2,,261.62
MT CB WATER + SANITATION DISTRICT WATER TREATMENT PLANT EXPANSION,MOUNT CRESTED BUTTE,GUNNISON,CO,Major,38.89269,-106.97122,SEWERAGE SYSTEMS,Washington Gulch-Slate River,0,0,0,0,0,0,0.409142857,5.42,20.6,,108.95
FOURMILE CREEK SPRINGS-UNINCORP TELLER COUNTY,UNK,TELLER,CO,Non-Major,38.6625,-105.222777,GOLD ORES,Cripple Creek-Four Mile Creek,0,0,0,0,0,0,0.0379,17.95,41.18,,1.26
ST VRAIN SANITATION DISTRICT,CITY OF LONGMONT,WELD,CO,Major,40.181709,-104.929916,SEWERAGE SYSTEMS,Firestone Lake-Saint Vrain Creek,0,0,0,0,0,0,3.66775,33.13,12.89,,316.17
EVANS STP,EVANS,WELD,CO,Major,40.38273,-104.67778,SEWERAGE SYSTEMS,City of Evans-South Platte River,0,0,0,0,0,0,0,54.76,46.07,,1947.45
US AIR FORCE ACADEMY,USAFA,EL PASO,CO,Major,38.990611,-104.860572,"COLLEGES, UNIV & PROF SCHOOLS",Middle Monument Creek,0,0,0,0,0,0,0.2355,25.42,18.4,,298.16
HAROLD D THOMPSON REGIONAL WW RECLAMATION FACILITY,FOUNTAIN,EL PASO,CO,Major,38.621186,-104.664391,SEWERAGE SYSTEMS,Callahan Reservoir-Fountain Creek,0,0,0,0,0,0,0.944285714,32.72,34.54,,14.41
UNITED STATES DEPARTMENT OF THE ARMY - FORT CARSON,FORT CARSON,EL PASO,CO,Major,38.72334,-104.742779,SEWERAGE SYSTEMS,Cheyenne Mountain,0,0,0,0,0,0,,42.61,32.87,,1427.92
ANN ALLISON #1,LINDON,WASHINGTON,CO,Non-Major,39.774,-103.419,CRUDE PETROLEUM & NATURAL GAS,Lower Vega Creek,0,0,0,0,0,0,0,16.67,38.89,,1.06
BELL MTN RANCH,CASTLE ROCK,DOUGLAS,CO,Non-Major,39.29785,-104.8628,WATER SUPPLY,Middle East Plum Creek,0,0,0,0,0,0,0,15.98,6.1,,84.83
FOXRIDGE FARMS MHP-CHLORINATOR FOR DENVER WEST WELL,AURORA,ARAPAHOE,CO,Non-Major,39.73975,-104.66913,SEWERAGE SYSTEMS,First Creek,0,0,0,0,0,0,0.063525,48.9,9.87,,103.01
SECURITY SD,FOUNTAIN,EL PASO,CO,Major,38.73768,-104.73661,SEWERAGE SYSTEMS,Cheyenne Mountain,0,0,0,0,0,0,0.940125,42.26,31.36,,1566.31
GRANBY SANITATION DISTRICT WWTF,GRANBY,GRAND,CO,Major,40.083807,-105.961202,SEWERAGE SYSTEMS,Lower Fraser River,0,0,0,0,0,0,0.456285714,11.98,17.21,,85.48
DRAKE WATER RECLAMATION FACILITY,FORT COLLINS,LARIMER,CO,Major,40.555277,-105.020555,SEWERAGE SYSTEMS,City of Fort Collins-Cache La Poudre River,0,0,0,0,0,0,4.728571429,21.95,22.72,,1744.96
MOFFAT TUNNEL EAST PORTAL,ROLLINSVILLE,GILPIN,CO,Non-Major,39.90222,-105.64417,"RAILROADS, LINE HAUL OPERATING",Headwaters South Boulder Creek,0,0,0,0,0,0,0.043285714,10.96,23.71,,0.22
LITTLETON/ENGLEWOOD WWTP,ENGLEWOOD,ARAPAHOE,CO,Major,39.66133,-105.00381,SEWERAGE SYSTEMS,1.02E+11,0,0,0,0,0,0,10.71428571,43.82,27,,4688.31
JD PHILLIPS WATER RECLAMATION FACILITY,COLORADO SPRINGS,EL PASO,CO,Major,38.89463,-104.825545,SEWERAGE SYSTEMS,Lower Monument Creek,0,0,0,0,0,0,8,25.17,27.91,,2410.2
ROCKY FORD SEWAGE LAGOONS,ROCKY FORD,OTERO,CO,Major,38.066389,-103.694167,SEWERAGE SYSTEMS,Dye Reservoir,0,0,0,0,0,0,0.575714286,61.7,63.35,,176.47
ESTES PARK SANITATION DISTRICT,ESTES PARK,LARIMER,CO,Major,40.37967,-105.51383,SEWERAGE SYSTEMS,Lake Estes-Big Thompson River,0,0,0,0,0,0,0.486428571,12.16,19.06,,251.22
75TH STREET WASTEWATER TREATMENT PLANT,BOULDER,BOULDER,CO,Major,40.048596,-105.186653,SEWERAGE SYSTEMS,Dry Creek-Boulder Creek,0,0,0,0,0,0,6.357142857,12.79,18.49,,587.62
METRO WASTEWATER RECLAMATION DISTRICT- NORTHERN TREATMENT PLANT,BRIGHTON,WELD,CO,Major,40.000518,-104.679449,SEWERAGE SYSTEMS,Mile High Lakes-Beebe Seep Canal,0,0,0,0,0,0,6.078571429,47.89,18.26,,221.56
DELTA WWTP,DELTA,DELTA,CO,Major,38.76279,-108.10172,SEWERAGE SYSTEMS,Petrie Mesa-Gunnison River,0,0,0,0,0,0,0.769428571,33.64,43,,227.88
WATTENBERG WTP,WELD COUNTY,WELD,CO,Non-Major,40.0241,-104.837209,WATER SUPPLY,City of Brighton-South Platte River,0,0,0,0,0,0,0.008714286,45.76,27.65,,326.57
