REF_SHORT_NAME,REF_SUBMITTER,REF_LINK,REF_STATE,REF_LOCALE,REF_SAMPLES,REF_NGDB,REF_SYSTEM,REF_DEPOSIT_TYPE,REF_CITATION,REF_DATE_PUBL,REF_TITLE,REF_AUTHORS
Ingraffia_2020,"Hofstra, Albert H.",https://scholarworks.unr.edu/handle/11714/7477,Nevada,"Thacker Pass deposit, Humboldt Co.",9,NO,Lacustrine evaporite,Li-clay,"Ingraffia, James T., 2020, Lithium at the Thacker Pass deposit, Humboldt County, Nevada, U.S.A.: Reno, University of Nevada, M.S. thesis, 143 p., accessed May 21, 2021 at https://scholarworks.unr.edu/handle/11714/7477.",2020,"Lithium at the Thacker Pass deposit, Humboldt County, Nevada, U.S.A.","Ingraffia, James T."
John_1989,"John, David A.",,Nevada,"Paradise Peak mine, Nye Co.",453,YES,Porphyry Cu-Mo-Au,"High Sulfidation Au-Ag, Lithocap alunite/High sulfidation Au-Ag or Lithocap kaolinite/High sulfidation Au-Ag","John, David A., compilation of unpublished USGS National Geochemical Database data from the Paradise Peak mine area, Nye Co., NV.",,,
John_2003a,"John, David A.",,Nevada,"Goldfield area, Esmeralda Co.; NGDB Ashley samples reanalyzed",37,YES,Porphyry Cu-Mo-Au,High sulfidation Au-Ag or Lithocap alunite/High sulfidation Au-Ag,"John, David A., compilation of unpublished USGS National Geochemical Database data from the Goldfield area, Esmeralda Co., NV.",,,
John_2003b,"John, David A.",,Nevada,Mule Canyon deposit,119,YES,Meteoric convection,Low sulfidation epithermal gold-silver,"John, David A., compilation of unpublished USGS National Geochemical Database data from the Mule Canyon deposit, NV.",,,
John_2006,"John, David A.",,Washington,White River,71,YES,Porphyry Cu-Mo-Au,Lithocap alunite/High sulfidation Au-Ag,"John, David A., compilation of unpublished USGS National Geochemical Database data from the White River area, WA.",,,
John_2014,"John, David A.",,California-Nevada,Monitor district,28,YES,Porphyry Cu-Mo-Au,"High sulfidation Au-Ag, Intermediate sulfidation epithermal Au-Ag or Lithocap alunite","John, David A., compilation of unpublished USGS National Geochemical Database data from the Monitor mining district, NV.",,,
Keith_2020,"Kelley, Karen D.",https://doi.org/10.1016/j.gca.2020.01.056,Colorado,Cripple Creek,897,NO,Alkalic porphyry,Low sulfidation Au,"Keith, M., Smith, D.J., Doyle, K., Holwell, D.A., Jenkin, G.R.T., Barry, T.L., Becker, J., and Rampe, J., 2020, Pyrite chemistry: a new window into Au-Te ore-forming processes in alkaline epithermal districts, Cripple Creek, Colorado: Geochimica et Cosmochimica Acta, vol. 274, pp. 172-191., accessed May 21, 2021 at https://doi.org/10.1016/j.gca.2020.01.056.",2020,"Pyrite chemistry: a new window into Au-Te ore-forming processes in alkaline epithermal districts, Cripple Creek, Colorado","Keith, Manuel, Smith, Daniel J., Doyle, Keiran, Holwell, David A., Jenkin, Gawen R.T., Barry, Tiffany L., Becker, Joseph, and Rampe, Jason"
Kuehn_1989,"Hofstra, Albert H.",http://www.nbmg.unr.edu/Maps&Data/NVGeologyTheses.html,Nevada,"gold deposits near Carlin, Eureka Co.(?)",79,NO,Carlin-type,Au,"Kuehn, Carl F., 1989, Studies of disseminated gold deposits near Carlin, Nevada: Evidence for a deep geologic setting of ore formation: State College, Pennsylvania State University, Ph.D dissertation, 395 p., accessed May 21, 2021 at http://www.nbmg.unr.edu/Maps&Data/NVGeologyTheses.html.",1989,"Studies of Disseminated Gold Deposits Near Carlin, Nevada: Evidence for a Deep Geologic Setting of Ore Formation","Kuehn, Carl F."
Lindsey_2019,"Hofstra, Albert H.",,Utah,"Spor Mountain high Be-Li-U-F, Juab Co.",130,YES,Climax-type,"Fluorspar, Volcanogenic Be or Volcanogenic U","Lindsey, David A., 2020, compilation of unpublished and published USGS National Geochemical Database data from the Spor Mountain deposit, Juab Co., UT.",,,
Lowell_2001,"Meighan, Corey",https://doi.org/ 10.1180/002646101300119466,Missouri,"Taum Sauk caldera, SE Missouri",2,NO,IOA-IOCG,Polymetallic sulfide skarn,"Lowell, G.R., and Noll, P.D. Jr., 2001, Fe-Cu-Au-bearing scapolite skarn in moat sediments of the Taum Sauk Caldera, southeastern Missouri, USA: Mineralogical Magazine, June 2001, Vol. 65(3), pp. 373-396, accessed May 21, 2021 at https://doi.org/10.1180/002646101300119466.",2001,"Fe-Cu-Au-bearing scapolite skarn in moat sediments of the Taum Sauk Caldera, southeastern Missouri, USA","Lowell, G.R., and Noll, P.D. Jr."
