PARAMETER,PARAMETER_DESC,PARAMETER_COUNT,ANALYTIC_METHOD
As_ppm_AES_AZ_P,"Arsenic, in parts per million, by inductively coupled plasma-atomic emission spectroscopy after partial digestion with H2O2-HCl leach and DIBK extract",810,AES_AZ_P
As_ppm_AES_Fuse,"Arsenic, in parts per million, by inductively coupled plasma-atomic emission spectroscopy after LiBO2 or LiBO2-Li2B4O7 fusion",23,AES_Fuse
As_ppm_AES_HF,"Arsenic, in parts per million, by inductively coupled plasma-atomic emission spectroscopy after HF-HCl-HNO3-HClO4 (4-acid) digestion",8580,AES_HF
As_ppm_CM_Acid_P,"Arsenic, in parts per million, by modified Gutzeit apparatus confined-spot colorimetry after partial digestion",140,CM_Acid_P
As_ppm_CM_HF,"Arsenic, in parts per million, by spectrophotometry after HF-aqua regia digestion",818,CM_HF
As_ppm_DCP_AR_P,"Arsenic, in parts per million, by direct current plasma-atomic emission spectroscopy after partial digestion with aqua regia",82,DCP_AR_P
As_ppm_EPMA,"Arsenic, in parts per million, by electron probe microanalysis",676,EPMA
As_ppm_ES_Q,"Arsenic, in parts per million, by quantitative direct-current arc emission spectrography",88,ES_Q
As_ppm_ES_SQ,"Arsenic, in parts per million, by semi-quantitative visual 6-step or direct reader direct-current arc emission spectrography",1461,ES_SQ
As_ppm_LAMS,"Arsenic, in parts per million, by inductively coupled plasma-mass spectroscopy after laser ablation decomposition",387,LAMS
As_ppm_MS_AR_P,"Arsenic, in parts per million, by inductively coupled plasma-mass spectroscopy after partial digestion with aqua regia",412,MS_AR_P
As_ppm_MS_AR_UT_P,"Arsenic, in parts per million, by ultratrace inductively coupled plasma-mass spectroscopy after partial digestion with aqua regia",78,MS_AR_UT_P
As_ppm_MS_Fuse,"Arsenic, in parts per million, by inductively coupled plasma-mass spectroscopy after LiBO2 or LiBO2-Li2B4O7 fusion",142,MS_Fuse
As_ppm_MS_HF,"Arsenic, in parts per million, by inductively coupled plasma-mass spectroscopy after HF-HCl-HNO3-HClO4 (4-acid) digestion",10506,MS_HF
As_ppm_MS_HF_UT,"Arsenic, in parts per million, by ultratrace inductively coupled plasma-mass spectroscopy after HF-HCl-HNO3-HClO4 (4-acid) digestion",7145,MS_HF_UT
As_ppm_MS_ST,"Arsenic, in parts per million, by inductively coupled plasma-mass spectroscopy after Na2O2 sinter digestion",391,MS_ST
As_ppm_NA_LC,"Arsenic, in parts per million, by long count instrumental neutron activation",305,NA_LC
As_ppm_NA_SC,"Arsenic, in parts per million, by short count instrumental neutron activation",54,NA_SC
As_ppm_WDX_PP,"Arsenic, in parts per million, by wavelength-dispersive X-ray fluorescence spectroscopy on pressed pellet samples",16,WDX_PP
Au_ppm_AA_F_AR_P,"Gold, in parts per million, by flame-atomic absorption spectrophotometry after partial digestion with aqua regia",200,AA_F_AR_P
Au_ppm_AA_F_CN_P,"Gold, in parts per million, by flame-atomic absorption spectrometry after cyanide leach",217,AA_F_CN_P
Au_ppm_AA_F_HBr,"Gold, in parts per million, by flame-atomic absorption spectrophotometry after HBr-Br2 digestion",756,AA_F_HBr
Au_ppm_AA_GF_AR_P,"Gold, in parts per million, by graphite furnace-atomic absorption spectrophotometry after partial digestion with aqua regia",202,AA_GF_AR_P
Au_ppm_AA_GF_HBr,"Gold, in parts per million, by graphite furnace-atomic absorption spectrophotometry after HBr-Br2 digestion",1027,AA_GF_HBr
Au_ppm_AA_GF_HF,"Gold, in parts per million, by graphite furnace-atomic absorption spectrophotometry after multi-acid digestion with HF and HBr-Br2",154,AA_GF_HF
Au_ppm_AES_AR_P,"Gold, in parts per million, by inductively coupled plasma-atomic emission spectroscopy after partial digestion with aqua regia",988,AES_AR_P
Au_ppm_AES_AZ_P,"Gold, in parts per million, by inductively coupled plasma-atomic emission spectroscopy after partial digestion with H2O2-HCl leach and DIBK extract",442,AES_AZ_P
Au_ppm_AES_HF,"Gold, in parts per million, by inductively coupled plasma-atomic emission spectroscopy after HF-HCl-HNO3-HClO4 (4-acid) digestion",1930,AES_HF
Au_ppm_EPMA,"Gold, in parts per million, by electron probe microanalysis",608,EPMA
Au_ppm_ES_SQ,"Gold, in parts per million, by semi-quantitative visual 6-step or direct reader direct-current arc emission spectrography",1461,ES_SQ
Au_ppm_FA_AA,"Gold, in parts per million, by PbO fire assay and flame-atomic absorption spectrophotometry",2041,FA_AA
Au_ppm_FA_AES,"Gold, in parts per million, by PbO fire assay and inductively coupled plasma-atomic emission spectroscopy",6639,FA_AES
Au_ppm_FA_DC,"Gold, in parts per million, by PbO fire assay and direct current plasma-atomic emission spectroscopy",130,FA_DC
Au_ppm_FA_GV,"Gold, in parts per million, by PbO(?) fire assay and gravimetry",61,FA_GV
Au_ppm_FA_MS,"Gold, in parts per million, by NiS fire assay and inductively coupled plasma-mass spectroscopy",135,FA_MS
Au_ppm_LAMS,"Gold, in parts per million, by inductively coupled plasma-mass spectroscopy after laser ablation decomposition",347,LAMS
Au_ppm_MS_AR_P,"Gold, in parts per million, by inductively coupled plasma-mass spectroscopy after partial digestion with aqua regia",99,MS_AR_P
Au_ppm_MS_AR_UT_P,"Gold, in parts per million, by ultratrace inductively coupled plasma-mass spectroscopy after partial digestion with aqua regia",78,MS_AR_UT_P
Au_ppm_MS_Fuse,"Gold, in parts per million by inductively coupled plasma-mass spectroscopy after LiBO2 or LiBO2-Li2B4O7 fusion",25,MS_Fuse
Au_ppm_MS_HF,"Gold, in parts per million, by inductively coupled plasma-mass spectroscopy after HF-HCl-HNO3-HClO4 (4-acid) digestion",255,MS_HF
Au_ppm_NA_LC,"Gold, in parts per million, by long count instrumental neutron activation",244,NA_LC
Au_ppm_NA_SC,"Gold, in parts per million, by short count instrumental neutron activation",59,NA_SC
Au_ppm_WDX_PP,"Gold, in parts per million, by wavelength-dispersive X-ray fluorescence spectroscopy on pressed pellet samples",4,WDX_PP
B_ppm_AES_AR_P,"Boron, in parts per million, by inductively coupled plasma-atomic emission spectroscopy after partial digestion with aqua regia",140,AES_AR_P
B_ppm_AES_Fuse,"Boron, in parts per million, by inductively coupled plasma-atomic emission spectroscopy after LiBO2 or LiBO2-Li2B4O7 fusion",539,AES_Fuse
B_ppm_AES_HF,"Boron, in parts per million, by inductively coupled plasma-atomic emission spectroscopy after multi-acid digestion with HF",331,AES_HF
B_ppm_AES_ST,"Boron, in parts per million, by inductively coupled plasma-atomic emission spectroscopy after Na2O2 sinter digestion",203,AES_ST
B_ppm_EPMA,"Boron, in parts per million, by electron probe microanalysis",1,EPMA
B_ppm_ES_SQ,"Boron, in parts per million, by semi-quantitative visual 6-step or direct reader direct-current arc emission spectrography",1464,ES_SQ
B_ppm_MS_AR_P,"Boron, in parts per million, by inductively coupled plasma-mass spectroscopy after partial digestion with aqua regia",62,MS_AR_P
B_ppm_MS_AR_UT_P,"Boron, in parts per million, by ultratrace inductively coupled plasma-mass spectroscopy after partial digestion with aqua regia",52,MS_AR_UT_P
B_ppm_MS_Fuse,"Boron, in parts per million by inductively coupled plasma-mass spectroscopy after LiBO2 or LiBO2-Li2B4O7 fusion",25,MS_Fuse
B_ppm_MS_HF,"Boron, in parts per million, by inductively coupled plasma-mass spectroscopy after HF-HCl-HNO3-HClO4 (4-acid) digestion",3,MS_HF
B_ppm_MS_ST,"Boron, in parts per million, by inductively coupled plasma-mass spectroscopy after Na2O2 sinter digestion",20,MS_ST
B_ppm_NA_LC,"Boron, in parts per million, by long count instrumental neutron activation; probably prompt gamma activation analysis",255,NA_LC
Ba_ppm_AES_AR_P,"Barium, in parts per million, by inductively coupled plasma-atomic emission spectroscopy after partial digestion with aqua regia",329,AES_AR_P
Ba_ppm_AES_Fuse,"Barium, in parts per million, by inductively coupled plasma-atomic emission spectroscopy after LiBO2 or LiBO2-Li2B4O7 fusion",555,AES_Fuse
Ba_ppm_AES_HF,"Barium, in parts per million, by inductively coupled plasma-atomic emission spectroscopy after HF-HCl-HNO3-HClO4 (4-acid) digestion",19265,AES_HF
Ba_ppm_AES_HF_UT,"Barium, in parts per million, by ultratrace inductively coupled plasma-atomic emission spectroscopy after HF-HCl-HNO3-HClO4 (4-acid) digestion",7145,AES_HF_UT
Ba_ppm_AES_ST,"Barium, in parts per million, by inductively coupled plasma-atomic emission spectroscopy after Na2O2 sinter digestion",383,AES_ST
Ba_ppm_DCP_Fuse,"Barium, in parts per million, by direct current plasma-atomic emission spectroscopy after LiBO2 or LiBO2-Li2B4O7 fusion",109,DCP_Fuse
Ba_ppm_EDX,"Barium, in parts per million, by energy-dispersive X-ray fluorescence spectroscopy",439,EDX
