PARAMETER,PARAMETER_DESC,PARAMETER_COUNT,ANALYTIC_METHOD
Cl_pct_ISE_HF,"Chlorine, in weight percent, by ion specific electrode after multi-acid digestion with HF",942,ISE_HF
Cl_pct_LAMS,"Chlorine, in weight percent, by inductively coupled plasma-mass spectroscopy after laser ablation decomposition",60,LAMS
Cl_pct_NA_LC,"Chlorine, in weight percent, by long count instrumental neutron activation",45,NA_LC
Co_ppm_AA_F_AR_P,"Cobalt, in parts per million, by flame-atomic absorption spectrophotometry after partial digestion with aqua regia",213,AA_F_AR_P
Co_ppm_AA_F_HF,"Cobalt, in parts per million, by flame-atomic absorption spectrophotometry after multi-acid digestion with HF",81,AA_F_HF
Co_ppm_AES_AR_P,"Cobalt, in parts per million, by inductively coupled plasma-atomic emission spectroscopy after partial digestion with aqua regia",855,AES_AR_P
Co_ppm_AES_Fuse,"Cobalt, in parts per million, by inductively coupled plasma-atomic emission spectroscopy after LiBO2 or LiBO2-Li2B4O7 fusion",252,AES_Fuse
Co_ppm_AES_HF,"Cobalt, in parts per million, by inductively coupled plasma-atomic emission spectroscopy after HF-HCl-HNO3-HClO4 (4-acid) digestion",9015,AES_HF
Co_ppm_ES_SQ,"Cobalt, in parts per million, by semi-quantitative visual 6-step or direct reader direct-current arc emission spectrography",1461,ES_SQ
Co_ppm_LAMS,"Cobalt, in parts per million, by inductively coupled plasma-mass spectroscopy after laser ablation decomposition",405,LAMS
Co_ppm_MS_AR_P,"Cobalt, in parts per million, by inductively coupled plasma-mass spectroscopy after partial digestion with aqua regia",68,MS_AR_P
Co_ppm_MS_AR_UT_P,"Cobalt, in parts per million, by ultratrace inductively coupled plasma-mass spectroscopy after partial digestion with aqua regia",52,MS_AR_UT_P
Co_ppm_MS_Fuse,"Cobalt, in parts per million, by inductively coupled plasma-mass spectroscopy after LiBO2 or LiBO2-Li2B4O7 fusion",258,MS_Fuse
Co_ppm_MS_HF,"Cobalt, in parts per million, by inductively coupled plasma-mass spectroscopy after HF-HCl-HNO3-HClO4 (4-acid) digestion",10515,MS_HF
Co_ppm_MS_HF_UT,"Cobalt, in parts per million, by ultratrace inductively coupled plasma-mass spectroscopy after HF-HCl-HNO3-HClO4 (4-acid) digestion",7145,MS_HF_UT
Co_ppm_MS_ST,"Cobalt, in parts per million, by inductively coupled plasma-mass spectroscopy after Na2O2 sinter digestion",391,MS_ST
Co_ppm_NA_LC,"Cobalt, in parts per million, by long count instrumental neutron activation",240,NA_LC
Co_ppm_NA_SC,"Cobalt, in parts per million, by short count instrumental neutron activation",8,NA_SC
Co_ppm_WDX_PP,"Cobalt, in parts per million, by wavelength-dispersive X-ray fluorescence spectroscopy on pressed pellet samples",10,WDX_PP
CO2_pct_CB_IRC,"Carbon dioxide, in weight percent, by combustion and infrared detector",186,CB_IRC
CO2_pct_CP,"Carbon dioxide, in weight percent, by computation",27,CP
CO2_pct_EPMA,"Carbon dioxide, in weight percent, by electron probe microanalysis",97,EPMA
CO2_pct_TT_HCl,"Carbon dioxide, in weight percent, by coulometric titration after HClO4 digestion",349,TT_HCl
CO2_pct_VOL_HCl,"Carbon dioxide, in weight percent, by volumetrics after HCl digestion",1,VOL_HCl
Corg_pct_CB_HCl,"Organic carbon, in weight percent, by infrared combustion after digestion with HCl",94,CB_HCl
Corg_pct_CP,"Organic carbon, in weight percent, by computation",146,CP
Cr_ppm_AES_AR_P,"Chromium, in parts per million, by inductively coupled plasma-atomic emission spectroscopy after partial digestion with aqua regia",713,AES_AR_P
Cr_ppm_AES_Fuse,"Chromium, in parts per million, by inductively coupled plasma-atomic emission spectroscopy after LiBO2 or LiBO2-Li2B4O7 fusion",539,AES_Fuse
Cr_ppm_AES_HF,"Chromium, in parts per million, by inductively coupled plasma-atomic emission spectroscopy after HF-HCl-HNO3-HClO4 (4-acid) digestion",19105,AES_HF
Cr_ppm_AES_HF_UT,"Chromium, in parts per million, by ultratrace inductively coupled plasma-atomic emission spectroscopy after HF-HCl-HNO3-HClO4 (4-acid) digestion",7145,AES_HF_UT
Cr_ppm_AES_ST,"Chromium, in parts per million, by inductively coupled plasma-atomic emission spectroscopy after Na2O2 sinter digestion",383,AES_ST
Cr_ppm_DCP_Fuse,"Chromium, in parts per million, by direct current plasma-atomic emission spectroscopy after LiBO2 or LiBO2-Li2B4O7 fusion",109,DCP_Fuse
Cr_ppm_EDX,"Chromium, in parts per million, by energy-dispersive X-ray fluorescence spectroscopy",390,EDX
Cr_ppm_ES_SQ,"Chromium, in parts per million, by semi-quantitative visual 6-step or direct reader direct-current arc emission spectrography",1461,ES_SQ
Cr_ppm_MS_AR_P,"Chromium, in parts per million, by inductively coupled plasma-mass spectroscopy after partial digestion with aqua regia",62,MS_AR_P
Cr_ppm_MS_AR_UT_P,"Chromium, in parts per million, by ultratrace inductively coupled plasma-mass spectroscopy after partial digestion with aqua regia",52,MS_AR_UT_P
Cr_ppm_MS_Fuse,"Chromium, in parts per million, by inductively coupled plasma-mass spectroscopy after LiBO2 or LiBO2-Li2B4O7 fusion",207,MS_Fuse
Cr_ppm_MS_HF,"Chromium, in parts per million, by inductively coupled plasma-mass spectroscopy after HF-HCl-HNO3-HClO4 (4-acid) digestion",269,MS_HF
Cr_ppm_MS_ST,"Chromium, in parts per million, by inductively coupled plasma-mass spectroscopy after Na2O2 sinter digestion",8,MS_ST
Cr_ppm_NA_LC,"Chromium, in parts per million, by long count instrumental neutron activation",510,NA_LC
Cr_ppm_NA_SC,"Chromium, in parts per million, by short count instrumental neutron activation",8,NA_SC
Cr_ppm_WDX_Fuse,"Chromium, in parts per million, by wavelength-dispersive X-ray fluorescence spectroscopy after LiBO2 or LiBO2-Li2B4O7 fusion",619,WDX_Fuse
Cred_pct_CP,"Carbon, reduced, in weight percent, by computation",27,CP
Cs_ppm_AES_HF,"Cesium, in parts per million, by inductively coupled plasma-atomic emission spectroscopy after HF-HCl-HNO3-HClO4 (4-acid) digestion",46,AES_HF
Cs_ppm_ES_Q,"Cesium, in parts per million, by quantitative direct-current arc emission spectrography",818,ES_Q
Cs_ppm_ES_SQ,"Cesium, in parts per million, by semi-quantitative visual 6-step or direct reader direct-current arc emission spectrography",12,ES_SQ
Cs_ppm_MS_AR_P,"Cesium, in parts per million, by inductively coupled plasma-mass spectroscopy after partial digestion with aqua regia",4,MS_AR_P
Cs_ppm_MS_Fuse,"Cesium, in parts per million, by inductively coupled plasma-mass spectroscopy after LiBO2 or LiBO2-Li2B4O7 fusion",493,MS_Fuse
Cs_ppm_MS_HF,"Cesium, in parts per million, by inductively coupled plasma-mass spectroscopy after HF-HCl-HNO3-HClO4 (4-acid) digestion",10287,MS_HF
Cs_ppm_MS_HF_UT,"Cesium, in parts per million, by ultratrace inductively coupled plasma-mass spectroscopy after HF-HCl-HNO3-HClO4 (4-acid) digestion",7145,MS_HF_UT
Cs_ppm_MS_ST,"Cesium, in parts per million, by inductively coupled plasma-mass spectroscopy after Na2O2 sinter digestion",383,MS_ST
Cs_ppm_NA_LC,"Cesium, in parts per million, by long count instrumental neutron activation",165,NA_LC
Cs_ppm_NA_SC,"Cesium, in parts per million, by short count instrumental neutron activation",8,NA_SC
Cu_ppm_AA_F_AR_P,"Copper, in parts per million, by flame-atomic absorption spectrophotometry after partial digestion with aqua regia",2553,AA_F_AR_P
Cu_ppm_AA_F_AZ_H2O2_P,"Copper, in parts per million, by flame-atomic absorption spectrophotometry after partial digestion with HCl-H2O2 and MIBK",9,AA_F_AZ_H2O2_P
Cu_ppm_AA_F_CA_P,"Copper, in parts per million, by flame-atomic absorption spectrophotometry after citric acid leach",215,AA_F_CA_P
Cu_ppm_AA_F_CN_P,"Copper, in parts per million, by flame-atomic absorption spectrophotometry after cyanide leach",2792,AA_F_CN_P
Cu_ppm_AA_F_H2SO4_P,"Copper, in parts per million, by flame-atomic absorption spectrophotometry after partial digestion with H2SO4",2792,AA_F_H2SO4_P
Cu_ppm_AA_F_HF,"Copper, in parts per million, by flame-atomic absorption spectrophotometry after multi-acid digestion with HF",8,AA_F_HF
Cu_ppm_AA_F_HNO3_P,"Copper, in parts per million, by flame-atomic absorption spectrophotometry after partial digestion with hot HNO3",7,AA_F_HNO3_P
Cu_ppm_AES_AR_P,"Copper, in parts per million, by inductively coupled plasma-atomic emission spectroscopy after partial digestion with aqua regia",1328,AES_AR_P
Cu_ppm_AES_AZ_P,"Copper, in parts per million, by inductively coupled plasma-atomic emission spectroscopy after partial digestion with H2O2-HCl leach and DIBK extract",524,AES_AZ_P
Cu_ppm_AES_Fuse,"Copper, in parts per million, by inductively coupled plasma-atomic emission spectroscopy after LiBO2 or LiBO2-Li2B4O7 fusion",356,AES_Fuse
Cu_ppm_AES_HF,"Copper, in parts per million, by inductively coupled plasma-atomic emission spectroscopy after HF-HCl-HNO3-HClO4 (4-acid) digestion",19486,AES_HF
Cu_ppm_AES_HF_UT,"Copper, in parts per million, by ultratrace inductively coupled plasma-atomic emission spectroscopy after HF-HCl-HNO3-HClO4 (4-acid) digestion",7145,AES_HF_UT
Cu_ppm_AES_ST,"Copper, in parts per million, by inductively coupled plasma-atomic emission spectroscopy after Na2O2 sinter digestion",383,AES_ST
Cu_ppm_EDX,"Copper, in parts per million, by energy-dispersive X-ray fluorescence spectroscopy",343,EDX
Cu_ppm_EPMA,"Copper, in parts per million, by electron probe microanalysis",472,EPMA
Cu_ppm_ES_SQ,"Copper, in parts per million, by semi-quantitative visual 6-step or direct reader direct-current arc emission spectrography",1461,ES_SQ
Cu_ppm_LAMS,"Copper, in parts per million, by inductively coupled plasma-mass spectroscopy after laser ablation decomposition",1060,LAMS
Cu_ppm_MS_AR_P,"Copper, in parts per million, by inductively coupled plasma-mass spectroscopy after partial digestion with aqua regia",125,MS_AR_P
Cu_ppm_MS_AR_UT_P,"Copper, in parts per million, by ultratrace inductively coupled plasma-mass spectroscopy after partial digestion with aqua regia",78,MS_AR_UT_P
Cu_ppm_MS_Fuse,"Copper, in parts per million, by inductively coupled plasma-mass spectroscopy after LiBO2 or LiBO2-Li2B4O7 fusion",69,MS_Fuse
Cu_ppm_MS_HF,"Copper, in parts per million, by inductively coupled plasma-mass spectroscopy after HF-HCl-HNO3-HClO4 (4-acid) digestion",124,MS_HF
Cu_ppm_MS_ST,"Copper, in parts per million, by inductively coupled plasma-mass spectroscopy after Na2O2 sinter digestion",8,MS_ST
Cu_ppm_NA_LC,"Copper, in parts per million, by long count instrumental neutron activation",60,NA_LC
Cu_ppm_WDX_PP,"Copper, in parts per million, by wavelength-dispersive X-ray fluorescence spectroscopy on pressed pellet samples",17,WDX_PP
Dy_ppm_AES_HF,"Dysprosium, in parts per million, by inductively coupled plasma-atomic emission spectroscopy after HF-HCl-HNO3-HClO4 (4-acid) digestion",1,AES_HF
Dy_ppm_EPMA,"Dysprosium, in parts per million, by electron probe microanalysis",7,EPMA
Dy_ppm_ES_SQ,"Dysprosium, in parts per million, by semi-quantitative visual 6-step or direct reader direct-current arc emission spectrography",62,ES_SQ
Dy_ppm_LAMS,"Dysprosium, in parts per million, by inductively coupled plasma-mass spectroscopy after laser ablation decomposition",798,LAMS
Dy_ppm_MS_Fuse,"Dysprosium, in parts per million, by inductively coupled plasma-mass spectroscopy after LiBO2 or LiBO2-Li2B4O7 fusion",485,MS_Fuse
Dy_ppm_MS_HF,"Dysprosium, in parts per million, by inductively coupled plasma-mass spectroscopy after HF-HCl-HNO3-HClO4 (4-acid) digestion",96,MS_HF
Dy_ppm_MS_ST,"Dysprosium, in parts per million, by inductively coupled plasma-mass spectroscopy after Na2O2 sinter digestion",383,MS_ST
Dy_ppm_MS_ST_REE,"Dysprosium, in parts per million, by inductively coupled plasma-mass spectroscopy after Na2O2 sinter digestion, REE package",307,MS_ST_REE
Dy_ppm_NA_LC,"Dysprosium, in parts per million, by long count instrumental neutron activation",1,NA_LC
Er_ppm_AES_HF,"Erbium, in parts per million, by inductively coupled plasma-atomic emission spectroscopy after HF-HCl-HNO3-HClO4 (4-acid) digestion",1,AES_HF
Er_ppm_ES_SQ,"Erbium, in parts per million, by semi-quantitative visual 6-step or direct reader direct-current arc emission spectrography",62,ES_SQ
Er_ppm_LAMS,"Erbium, in parts per million, by inductively coupled plasma-mass spectroscopy after laser ablation decomposition",798,LAMS
Er_ppm_MS_Fuse,"Erbium, in parts per million, by inductively coupled plasma-mass spectroscopy after LiBO2 or LiBO2-Li2B4O7 fusion",485,MS_Fuse
Er_ppm_MS_HF,"Erbium, in parts per million, by inductively coupled plasma-mass spectroscopy after HF-HCl-HNO3-HClO4 (4-acid) digestion",96,MS_HF
Er_ppm_MS_ST,"Erbium, in parts per million, by inductively coupled plasma-mass spectroscopy after Na2O2 sinter digestion",380,MS_ST
Er_ppm_MS_ST_REE,"Erbium, in parts per million, by inductively coupled plasma-mass spectroscopy after Na2O2 sinter digestion, REE package",317,MS_ST_REE
Eu_ppm_AES_HF,"Europium, in parts per million, by inductively coupled plasma-atomic emission spectroscopy after HF-HCl-HNO3-HClO4 (4-acid) digestion",1860,AES_HF
Eu_ppm_ES_SQ,"Europium, in parts per million, by semi-quantitative visual 6-step or direct reader direct-current arc emission spectrography",107,ES_SQ
Eu_ppm_LAMS,"Europium, in parts per million, by inductively coupled plasma-mass spectroscopy after laser ablation decomposition",798,LAMS
Eu_ppm_MS_Fuse,"Europium, in parts per million, by inductively coupled plasma-mass spectroscopy after LiBO2 or LiBO2-Li2B4O7 fusion",485,MS_Fuse
Eu_ppm_MS_HF,"Europium, in parts per million, by inductively coupled plasma-mass spectroscopy after HF-HCl-HNO3-HClO4 (4-acid) digestion",96,MS_HF
Eu_ppm_MS_ST,"Europium, in parts per million, by inductively coupled plasma-mass spectroscopy after Na2O2 sinter digestion",382,MS_ST
Eu_ppm_MS_ST_REE,"Europium, in parts per million, by inductively coupled plasma-mass spectroscopy after Na2O2 sinter digestion, REE package",307,MS_ST_REE
Eu_ppm_NA_LC,"Europium, in parts per million, by long count instrumental neutron activation",219,NA_LC
Eu_ppm_NA_SC,"Europium, in parts per million, by short count instrumental neutron activation",7,NA_SC
F_pct_CM_HSF,"Fluorine, in weight percent, by colorimetric spectrophotometry after H2SiF6 digestion",8,CM_HSF
F_pct_EPMA,"Fluorine, in weight percent, by electron probe microanalysis",10,EPMA
F_pct_ISE_Fuse,"Fluorine, in weight percent, by ion specific electrode after fusion or sinter digestion",1572,ISE_Fuse
F_pct_NA_LC,"Fluorine, in weight percent, by long count instrumental neutron activation",68,NA_LC
Fe_pct_AA_F_HF,"Total iron, in weight percent, by flame-atomic absorption spectrophotometry after multi-acid digestion with HF",213,AA_F_HF
Fe_pct_AES_AR_P,"Iron (not differentiated by oxidation state), in weight percent, by inductively coupled plasma-atomic emission spectroscopy after partial digestion with aqua regia",522,AES_AR_P
Fe_pct_AES_Fuse,"Total iron, in weight percent, by inductively coupled plasma-atomic emission spectroscopy after LiBO2 or LiBO2-Li2B4O7 fusion",789,AES_Fuse
Fe_pct_AES_HF,"Total iron, in weight percent, by inductively coupled plasma-atomic emission spectroscopy after HF-HCl-HNO3-HClO4 (4-acid) digestion",19243,AES_HF
Fe_pct_AES_HF_UT,"Total iron, in weight percent, by ultratrace inductively coupled plasma-atomic emission spectroscopy after HF-HCl-HNO3-HClO4 (4-acid) digestion",7145,AES_HF_UT
Fe_pct_AES_ST,"Total iron, in weight percent, by inductively coupled plasma-atomic emission spectroscopy after Na2O2 sinter digestion",383,AES_ST
Fe_pct_CP,"Total iron, in weight percent, by computation, ferric iron plus ferrous iron",25,CP
Fe_pct_DCP_Fuse,"Total iron, in weight percent, by direct current plasma-atomic emission spectroscopy after LiBO2 or LiBO2-Li2B4O7 fusion",109,DCP_Fuse
Fe_pct_EPMA,"Total iron, in weight percent, by electron probe microanalysis",1300,EPMA
Fe_pct_ES_SQ,"Total iron, in weight percent, by semi-quantitative visual 6-step or direct reader direct-current arc emission spectrography",1461,ES_SQ
Fe_pct_MS_AR_P,"Iron (not differentiated by oxidation state), in weight percent, by inductively coupled plasma-mass spectroscopy after partial digestion with aqua regia",62,MS_AR_P
Fe_pct_MS_HF,"Total iron, in weight percent, by inductively coupled plasma-mass spectroscopy after HF-HCl-HNO3-HClO4 (4-acid) digestion",38,MS_HF
Fe_pct_NA_LC,"Total iron, in weight percent, by long count instrumental neutron activation",170,NA_LC
Fe_pct_NA_SC,"Total iron, in weight percent, by short count instrumental neutron activation",8,NA_SC
Fe_pct_WDX_Fuse,"Total iron, in weight percent, by wavelength-dispersive X-ray fluorescence spectroscopy after LiBO2 or LiBO2-Li2B4O7 fusion",1640,WDX_Fuse
Fe_pct_WDX_PP,"Total iron, in weight percent, by wavelength-dispersive X-ray fluorescence spectroscopy on pressed pellet samples",106,WDX_PP
Fe2O3_pct_CP,"Ferric iron, as iron trioxide, in weight percent, by computation, total iron less ferrous iron",141,CP
FeO_pct_TT_HF,"Ferrous iron, as ferrous oxide, in weight percent, by titration after HF-H2SO4 digestion",705,TT_HF
Ga_ppm_AES_AR_P,"Gallium, in parts per million, by inductively coupled plasma-atomic emission spectroscopy after partial digestion with aqua regia",147,AES_AR_P
Ga_ppm_AES_AZ_P,"Gallium, in parts per million, by inductively coupled plasma-atomic emission spectroscopy after partial digestion with H2O2-HCl leach and DIBK extract",70,AES_AZ_P
Ga_ppm_AES_Fuse,"Gallium, in parts per million, by inductively coupled plasma-atomic emission spectroscopy after LiBO2 or LiBO2-Li2B4O7 fusion",23,AES_Fuse
Ga_ppm_AES_HF,"Gallium, in parts per million, by inductively coupled plasma-atomic emission spectroscopy after HF-HCl-HNO3-HClO4 (4-acid) digestion",8639,AES_HF
Ga_ppm_EDX,"Gallium, in parts per million, by energy-dispersive X-ray fluorescence spectroscopy",99,EDX
Ga_ppm_ES_SQ,"Gallium, in parts per million, by semi-quantitative visual 6-step or direct reader direct-current arc emission spectrography",424,ES_SQ
Ga_ppm_MS_AR_P,"Gallium, in parts per million, by inductively coupled plasma-mass spectroscopy after partial digestion with aqua regia",29,MS_AR_P
Ga_ppm_MS_AR_UT_P,"Gallium, in parts per million, by ultratrace inductively coupled plasma-mass spectroscopy after partial digestion with aqua regia",52,MS_AR_UT_P
Ga_ppm_MS_Fuse,"Gallium, in parts per million, by inductively coupled plasma-mass spectroscopy after LiBO2 or LiBO2-Li2B4O7 fusion",370,MS_Fuse
Ga_ppm_MS_HF,"Gallium, in parts per million, by inductively coupled plasma-mass spectroscopy after HF-HCl-HNO3-HClO4 (4-acid) digestion",10501,MS_HF
Ga_ppm_MS_HF_UT,"Gallium, in parts per million, by ultratrace inductively coupled plasma-mass spectroscopy after HF-HCl-HNO3-HClO4 (4-acid) digestion",7145,MS_HF_UT
Ga_ppm_MS_ST,"Gallium, in parts per million, by inductively coupled plasma-mass spectroscopy after Na2O2 sinter digestion",335,MS_ST
Gd_ppm_AES_HF,"Gadolinium, in parts per million, by inductively coupled plasma-atomic emission spectroscopy after HF-HCl-HNO3-HClO4 (4-acid) digestion",1,AES_HF
Gd_ppm_EPMA,"Gadolinium, in parts per million, by electron probe microanalysis",10,EPMA
Gd_ppm_ES_SQ,"Gadolinium, in parts per million, by semi-quantitative visual 6-step or direct reader direct-current arc emission spectrography",62,ES_SQ
Gd_ppm_LAMS,"Gadolinium, in parts per million, by inductively coupled plasma-mass spectroscopy after laser ablation decomposition",798,LAMS
Gd_ppm_MS_Fuse,"Gadolinium, in parts per million, by inductively coupled plasma-mass spectroscopy after LiBO2 or LiBO2-Li2B4O7 fusion",485,MS_Fuse
Gd_ppm_MS_HF,"Gadolinium, in parts per million, by inductively coupled plasma-mass spectroscopy after HF-HCl-HNO3-HClO4 (4-acid) digestion",96,MS_HF
Gd_ppm_MS_ST,"Gadolinium, in parts per million, by inductively coupled plasma-mass spectroscopy after Na2O2 sinter digestion",383,MS_ST
Gd_ppm_MS_ST_REE,"Gadolinium, in parts per million, by inductively coupled plasma-mass spectroscopy after Na2O2 sinter digestion, REE package",307,MS_ST_REE
Gd_ppm_NA_LC,"Gadolinium, in parts per million, by long count instrumental neutron activation",63,NA_LC
Ge_ppm_ES_SQ,"Germanium, in parts per million, by semi-quantitative visual 6-step or direct reader direct-current arc emission spectrography",419,ES_SQ
Ge_ppm_MS_AR_P,"Germanium, in parts per million, by inductively coupled plasma-mass spectroscopy after partial digestion with aqua regia",4,MS_AR_P
Ge_ppm_MS_Fuse,"Germanium, in parts per million, by inductively coupled plasma-mass spectroscopy after LiBO2 or LiBO2-Li2B4O7 fusion",361,MS_Fuse
Ge_ppm_MS_HF,"Germanium, in parts per million, by inductively coupled plasma-mass spectroscopy after HF-HCl-HNO3-HClO4 (4-acid) digestion",9900,MS_HF
Ge_ppm_MS_HF_UT,"Germanium, in parts per million, by ultratrace inductively coupled plasma-mass spectroscopy after HF-HCl-HNO3-HClO4 (4-acid) digestion",7145,MS_HF_UT
Ge_ppm_MS_ST,"Germanium, in parts per million, by inductively coupled plasma-mass spectroscopy after Na2O2 sinter digestion",391,MS_ST
H2O_pct_GV_Flux,"Total water, in weight percent, by gravimetry after heating and combustion with flux",4,GV_Flux
H2O_pct_TT_Flux,"Total water, in weight percent, by Karl Fischer coulometric titration with flux",63,TT_Flux
H2Ob_pct_GV_Flux,"Bound or essential water, in weight percent, by gravimetry after heating and combustion with flux",3,GV_Flux
H2Ob_pct_TT_Flux,"Bound or essential water, in weight percent, by Karl Fischer coulometric titration with flux",143,TT_Flux
H2Om_pct_GV,"Moisture or nonessential water, in weight percent, by gravimetry after heating",146,GV
Hf_ppm_ES_SQ,"Hafnium, in parts per million, by semi-quantitative visual 6-step or direct reader direct-current arc emission spectrography",108,ES_SQ
Hf_ppm_MS_Fuse,"Hafnium, in parts per million, by inductively coupled plasma-mass spectroscopy after LiBO2 or LiBO2-Li2B4O7 fusion",493,MS_Fuse
Hf_ppm_MS_HF,"Hafnium, in parts per million, by inductively coupled plasma-mass spectroscopy after HF-HCl-HNO3-HClO4 (4-acid) digestion",9738,MS_HF
Hf_ppm_MS_HF_UT,"Hafnium, in parts per million, by ultratrace inductively coupled plasma-mass spectroscopy after HF-HCl-HNO3-HClO4 (4-acid) digestion",7145,MS_HF_UT
Hf_ppm_MS_ST,"Hafnium, in parts per million, by inductively coupled plasma-mass spectroscopy after Na2O2 sinter digestion",383,MS_ST
Hf_ppm_MS_ST_REE,"Hafnium, in parts per million, by inductively coupled plasma-mass spectroscopy after Na2O2 sinter digestion, REE package",1,MS_ST_REE
Hf_ppm_NA_LC,"Hafnium, in parts per million, by long count instrumental neutron activation",165,NA_LC
Hf_ppm_NA_SC,"Hafnium, in parts per million, by short count instrumental neutron activation",8,NA_SC
Hg_ppm_AA_CV,"Mercury, in parts per million, by cold vapor-atomic absorption spectrophotometry after acid digestion",1104,AA_CV
Hg_ppm_AA_CV_AR,"Mercury, in parts per million, by cold vapor-atomic absorption spectrophotometry after aqua regia digestion",99,AA_CV_AR
Hg_ppm_AA_CV_WO,"Mercury, in parts per million, by cold vapor-atomic absorption spectrophotometry after acid digestion and wet oxidation",516,AA_CV_WO
Hg_ppm_AA_TR,"Mercury, in parts per million, by thermal release-atomic absorption spectrophotometry after KBr-H2SO4 digestion",959,AA_TR
Hg_ppm_AES_AR_P,"Mercury, in parts per million, by inductively coupled plasma-atomic emission spectroscopy after partial digestion with aqua regia",1107,AES_AR_P
Hg_ppm_AES_AZ_P,"Mercury, in parts per million, by inductively coupled plasma-atomic emission spectroscopy after partial digestion with H2O2-HCl leach and DIBK extract",70,AES_AZ_P
Hg_ppm_AES_HF,"Mercury, in parts per million, by inductively coupled plasma-atomic emission spectroscopy after HF-HCl-HNO3-HClO4 (4-acid) digestion",148,AES_HF
Hg_ppm_DCP_AR_P,"Mercury, in parts per million, by direct current plasma-atomic emission spectroscopy after partial digestion with aqua regia",82,DCP_AR_P
Hg_ppm_EPMA,"Mercury, in parts per million, by electron probe microanalysis",356,EPMA
Hg_ppm_ES_SQ,"Mercury, in parts per million, by semi-quantitative visual 6-step or direct reader direct-current arc emission spectrography",11,ES_SQ
Hg_ppm_MS_AR,"Mercury, in parts per million, by inductively coupled plasma-mass spectroscopy after digestion with aqua regia",7145,MS_AR
Hg_ppm_MS_AR_P,"Mercury, in parts per million, by inductively coupled plasma-mass spectroscopy after partial digestion with aqua regia",324,MS_AR_P
Hg_ppm_MS_AR_UT_P,"Mercury, in parts per million, by ultratrace inductively coupled plasma-mass spectroscopy after partial digestion with aqua regia",78,MS_AR_UT_P
Hg_ppm_MS_HF,"Mercury, in parts per million, by inductively coupled plasma-mass spectroscopy after HF-HCl-HNO3-HClO4 (4-acid) digestion",384,MS_HF
Hg_ppm_NA_LC,"Mercury, in parts per million, by long count instrumental neutron activation",131,NA_LC
Ho_ppm_AES_HF,"Holmium, in parts per million, by inductively coupled plasma-atomic emission spectroscopy after HF-HCl-HNO3-HClO4 (4-acid) digestion",1860,AES_HF
Ho_ppm_ES_SQ,"Holmium, in parts per million, by semi-quantitative visual 6-step or direct reader direct-current arc emission spectrography",62,ES_SQ
Ho_ppm_LAMS,"Holmium, in parts per million, by inductively coupled plasma-mass spectroscopy after laser ablation decomposition",798,LAMS
Ho_ppm_MS_Fuse,"Holmium, in parts per million, by inductively coupled plasma-mass spectroscopy after LiBO2 or LiBO2-Li2B4O7 fusion",485,MS_Fuse
Ho_ppm_MS_HF,"Holmium, in parts per million, by inductively coupled plasma-mass spectroscopy after HF-HCl-HNO3-HClO4 (4-acid) digestion",96,MS_HF
Ho_ppm_MS_ST,"Holmium, in parts per million, by inductively coupled plasma-mass spectroscopy after Na2O2 sinter digestion",383,MS_ST
Ho_ppm_MS_ST_REE,"Holmium, in parts per million, by inductively coupled plasma-mass spectroscopy after Na2O2 sinter digestion, REE package",307,MS_ST_REE
Ho_ppm_NA_LC,"Holmium, in parts per million, by long count instrumental neutron activation",64,NA_LC
In_ppm_AA_F_HF,"Indium, in parts per million, by flame-atomic absorption spectrophotometry after multi-acid digestion with HF",25,AA_F_HF
In_ppm_AES_Fuse,"Indium, in parts per million, by inductively coupled plasma-atomic emission spectroscopy after LiBO2 or LiBO2-Li2B4O7 fusion",8,AES_Fuse
In_ppm_ES_SQ,"Indium, in parts per million, by semi-quantitative visual 6-step or direct reader direct-current arc emission spectrography",108,ES_SQ
In_ppm_MS_AR_P,"Indium, in parts per million, by inductively coupled plasma-mass spectroscopy after partial digestion with aqua regia",122,MS_AR_P
In_ppm_MS_Fuse,"Indium, in parts per million, by inductively coupled plasma-mass spectroscopy after LiBO2 or LiBO2-Li2B4O7 fusion",165,MS_Fuse
In_ppm_MS_HF,"Indium, in parts per million, by inductively coupled plasma-mass spectroscopy after HF-HCl-HNO3-HClO4 (4-acid) digestion",10154,MS_HF
In_ppm_MS_HF_UT,"Indium, in parts per million, by ultratrace inductively coupled plasma-mass spectroscopy after HF-HCl-HNO3-HClO4 (4-acid) digestion",7145,MS_HF_UT
In_ppm_MS_ST,"Indium, in parts per million, by inductively coupled plasma-mass spectroscopy after Na2O2 sinter digestion",383,MS_ST
Ir_ppm_FA_MS,"Iridium, in parts per million, by NiS fire assay and inductively coupled plasma-mass spectroscopy",137,FA_MS
Ir_ppm_NA_LC,"Iridium, in parts per million, by long count instrumental neutron activation",146,NA_LC
K_pct_AA_F_HF,"Potassium, in weight percent, by flame-atomic absorption spectrophotometry after multi-acid digestion with HF",818,AA_F_HF
K_pct_AA_FE,"Potassium, in weight percent, by flame emission spectroscopy after multi-acid digestion with HF, or after LiBO2-Li2B4O7 fusion",4,AA_FE
K_pct_AES_AR_P,"Potassium, in weight percent, by inductively coupled plasma-atomic emission spectroscopy after partial digestion with aqua regia",291,AES_AR_P
